subscriber_id,product,region,acquisition_channel,start_date,contract_type,contract_end_date,bundle_depth,mrr,nps_score,status,churn_date,churn_reason,plan_change,propensity_score,tenure_months,tenure_cohort,last_interaction_date,days_to_churn,grace_period
SKY-00001,NOW TV,England,Direct,2024-09-07,rolling-monthly,,double,13.54,10,churned,2024-09-20,price,none,0.591,0,0-6m,2024-08-21,30,false
SKY-00002,Sky Sports,England,Telesales,2025-10-27,OOC,2025-12-02,single,21.34,10,active,,,none,0.06,6,6-12m,2026-01-24,,false
SKY-00003,Sky Protect,England,Telesales,2024-05-07,rolling-monthly,,single,17.38,10,active,,,none,0.101,23,1-2yr,2025-11-03,,false
SKY-00004,Sky Cinema,Scotland,Telesales,2024-08-12,rolling-monthly,,single,14.94,10,churned,2025-09-24,not_using,none,0.666,13,1-2yr,2025-07-21,65,false
SKY-00005,Sky Protect,England,Retail,2025-10-02,in-contract,2027-09-22,single,11.38,7,active,,,none,0.076,6,6-12m,2025-11-07,,false
SKY-00006,Sky Glass/Sky Q,England,Telesales,2024-03-11,rolling-monthly,,single,40.03,9,churned,2025-04-23,financial_hardship,none,0.651,13,1-2yr,2025-04-18,5,false
SKY-00007,Sky Protect,England,Telesales,2024-10-12,OOC,2025-07-05,single,23.9,9,active,,,none,0.106,18,1-2yr,2026-03-17,,false
SKY-00008,Sky Broadband,England,Partner,2024-09-28,rolling-monthly,,double,38.59,9,active,,,none,0.203,19,1-2yr,2025-12-05,,false
SKY-00009,Sky Mobile,Wales,Retail,2024-01-10,in-contract,2025-12-30,triple,25.61,6,active,,,upgrade,0.085,27,2-5yr,2026-03-22,,false
SKY-00010,Sky Mobile,England,Online,2024-04-15,in-contract,2026-04-05,triple,35.35,9,active,,,none,0.208,24,2-5yr,2025-11-22,,false
SKY-00011,Sky Glass/Sky Q,England,Telesales,2024-09-17,in-contract,2026-03-11,single,72.02,9,churned,2025-12-10,price,none,0.896,15,1-2yr,2025-09-23,78,false
SKY-00012,NOW TV,England,Telesales,2025-11-22,rolling-monthly,,single,14.01,10,churned,2025-12-17,moved,none,0.822,1,0-6m,2025-12-05,12,false
SKY-00013,Sky Protect,Wales,Online,2024-11-13,in-contract,2025-11-08,single,8.79,10,active,,,none,0.26,17,1-2yr,2025-12-07,,false
SKY-00014,Sky Mobile,England,Retail,2024-10-10,OOC,2025-05-06,single,28.2,9,active,,,none,0.197,18,1-2yr,2025-10-12,,false
SKY-00015,NOW TV,England,Direct,2025-04-23,rolling-monthly,,triple,13.44,10,active,,,none,0.045,12,1-2yr,2025-10-17,,false
SKY-00016,Sky Glass/Sky Q,England,Retail,2024-07-23,rolling-monthly,,double,46.84,8,active,,,downgrade,0.452,21,1-2yr,2025-10-17,,false
SKY-00017,Sky Mobile,England,Retail,2025-05-10,in-contract,2027-04-30,double,28.37,6,active,,,none,0.312,11,6-12m,2025-12-18,,false
SKY-00018,Sky Cinema,England,Online,2025-05-02,OOC,2025-08-04,double,12.57,6,active,,,none,0.07,11,6-12m,2025-11-18,,false
SKY-00019,Sky Sports,England,Online,2024-07-17,in-contract,2026-01-08,single,18.17,9,active,,,none,0.205,21,1-2yr,2026-02-07,,false
SKY-00020,NOW TV,England,Direct,2024-06-09,rolling-monthly,,double,7.56,8,churned,2024-08-10,not_using,none,0.859,2,0-6m,2024-06-12,59,false
SKY-00021,Sky Glass/Sky Q,England,Retail,2025-10-02,OOC,2025-09-03,single,43.99,5,active,,,none,0.205,6,6-12m,2025-11-14,,false
SKY-00022,Sky Cinema,England,Telesales,2025-03-18,OOC,2026-03-02,single,19.62,10,active,,,none,0.166,13,1-2yr,2025-11-12,,false
SKY-00023,Sky Glass/Sky Q,England,Online,2024-11-27,in-contract,2026-05-21,triple,67.95,0,active,,,downgrade,0.393,17,1-2yr,2025-12-02,,false
SKY-00024,Sky Broadband,England,Online,2024-07-14,rolling-monthly,,single,51.38,10,active,,,none,0.507,21,1-2yr,2025-12-06,,false
SKY-00025,Sky Glass/Sky Q,England,Telesales,2025-11-01,rolling-monthly,,single,66.26,6,active,,,none,0.19,5,0-6m,2025-11-28,,false
SKY-00026,Sky Protect,England,Direct,2024-08-28,OOC,2025-12-02,double,17.69,3,churned,2025-11-26,found_better_deal,none,0.677,15,1-2yr,2025-09-17,70,true
SKY-00027,Sky Broadband,England,Retail,2025-08-24,in-contract,2027-02-15,double,44.52,7,active,,,none,0.402,8,6-12m,2026-01-18,,false
SKY-00028,Sky Protect,England,Direct,2024-12-26,in-contract,2025-12-21,double,22.45,9,active,,,none,0.093,16,1-2yr,2025-10-10,,false
SKY-00029,NOW TV,England,Telesales,2025-07-24,rolling-monthly,,double,5.91,9,active,,,none,0.04,9,6-12m,2026-03-23,,false
SKY-00030,Sky Mobile,NI,Online,2024-08-28,rolling-monthly,,single,28.61,9,active,,,none,0.056,20,1-2yr,2026-02-01,,false
SKY-00031,Sky Mobile,England,Direct,2025-09-02,in-contract,2026-08-28,triple,40.57,10,active,,,none,0.118,7,6-12m,2026-03-16,,false
SKY-00032,Sky Cinema,England,Telesales,2025-08-30,in-contract,2027-08-20,single,16.15,9,active,,,none,0.446,8,6-12m,2025-10-24,,false
SKY-00033,NOW TV,England,Direct,2025-01-25,rolling-monthly,,single,9.54,9,churned,2025-01-25,not_using,none,0.836,0,0-6m,2024-11-15,71,false
SKY-00034,NOW TV,Scotland,Telesales,2024-08-21,rolling-monthly,,double,10.34,9,churned,2025-10-10,moved,none,0.705,14,1-2yr,2025-07-28,74,false
SKY-00035,Sky Sports,England,Direct,2024-08-17,rolling-monthly,,single,24.68,4,churned,2025-05-09,not_using,none,0.686,9,6-12m,2025-03-26,44,false
SKY-00036,Sky Mobile,England,Retail,2025-08-02,OOC,2026-01-01,double,50.77,3,active,,,none,0.075,8,6-12m,2025-10-28,,false
SKY-00037,Sky Cinema,England,Online,2025-06-08,in-contract,2026-11-30,single,16.78,9,active,,,none,0.085,10,6-12m,2025-10-12,,false
SKY-00038,Sky Protect,England,Telesales,2024-02-13,in-contract,2025-08-06,triple,29.46,9,active,,,none,0.443,26,2-5yr,2026-01-14,,false
SKY-00039,Sky Protect,England,Online,2025-06-03,in-contract,2026-11-25,single,8.97,10,active,,,none,0.346,10,6-12m,2026-01-04,,false
SKY-00040,NOW TV,England,Direct,2024-02-10,rolling-monthly,,single,9.39,8,churned,2024-02-21,not_using,none,0.72,0,0-6m,2024-01-08,44,false
SKY-00041,NOW TV,England,Direct,2025-10-24,rolling-monthly,,single,10.58,8,churned,2026-03-22,price,none,0.704,5,0-6m,2025-12-28,84,false
SKY-00042,NOW TV,England,Online,2025-12-26,rolling-monthly,,single,8.77,10,active,,,none,0.266,4,0-6m,2025-12-30,,false
SKY-00043,Sky Glass/Sky Q,England,Online,2024-08-07,in-contract,2026-01-29,single,75.0,5,active,,,none,0.401,20,1-2yr,2026-02-09,,false
SKY-00044,Sky Protect,England,Retail,2024-02-23,OOC,2025-07-05,triple,26.12,8,active,,,none,0.202,26,2-5yr,2026-01-17,,false
SKY-00045,Sky Cinema,England,Telesales,2025-08-07,in-contract,2027-07-28,double,17.51,7,active,,,none,0.543,8,6-12m,2025-10-15,,false
SKY-00046,NOW TV,England,Telesales,2024-12-06,OOC,2025-07-05,single,11.43,10,churned,2025-07-07,price,none,0.638,7,6-12m,2025-07-01,6,true
SKY-00047,Sky Mobile,Wales,Telesales,2025-07-10,in-contract,2026-07-05,double,23.84,7,active,,,none,0.195,9,6-12m,2025-12-14,,false
SKY-00048,Sky Glass/Sky Q,England,Partner,2024-07-03,in-contract,2025-12-25,single,48.12,7,active,,,none,0.111,21,1-2yr,2026-03-02,,false
SKY-00049,Sky Mobile,England,Direct,2024-08-07,rolling-monthly,,single,42.49,8,churned,2025-11-18,found_better_deal,none,0.756,15,1-2yr,2025-09-08,71,false
SKY-00050,Sky Broadband,England,Online,2024-11-12,in-contract,2026-11-02,double,46.89,10,active,,,none,0.057,17,1-2yr,2026-02-17,,false
SKY-00051,Sky Sports,Wales,Online,2025-11-05,OOC,2025-06-05,single,28.37,3,active,,,none,0.347,5,0-6m,2025-12-19,,false
SKY-00052,Sky Mobile,England,Direct,2024-06-10,in-contract,2025-12-02,single,25.21,5,active,,,none,0.071,22,1-2yr,2025-12-19,,false
SKY-00053,Sky Mobile,England,Online,2025-07-29,in-contract,2027-07-19,single,26.59,8,active,,,none,0.203,9,6-12m,2025-11-20,,false
SKY-00054,Sky Cinema,England,Retail,2024-05-23,in-contract,2026-05-13,single,13.93,9,active,,,none,0.394,23,1-2yr,2025-11-09,,false
SKY-00055,Sky Mobile,NI,Telesales,2025-01-20,in-contract,2026-01-15,single,30.99,9,active,,,none,0.113,15,1-2yr,2026-03-22,,false
SKY-00056,Sky Mobile,Wales,Online,2025-03-28,OOC,2025-12-02,single,31.16,10,churned,2026-01-18,not_using,none,0.619,10,6-12m,2025-10-26,84,false
SKY-00057,Sky Cinema,England,Online,2024-10-21,in-contract,2026-10-11,single,17.69,9,active,,,none,0.383,18,1-2yr,2025-10-11,,false
SKY-00058,Sky Protect,England,Direct,2025-10-16,rolling-monthly,,double,19.27,3,active,,,none,0.082,6,6-12m,2026-03-17,,false
SKY-00059,NOW TV,England,Online,2025-02-19,rolling-monthly,,triple,18.04,10,active,,,none,0.238,14,1-2yr,2025-11-23,,false
SKY-00060,Sky Broadband,England,Online,2024-12-01,rolling-monthly,,single,51.62,9,active,,,upgrade,0.119,16,1-2yr,2025-10-18,,false
SKY-00061,Sky Cinema,England,Retail,2025-04-04,rolling-monthly,,triple,17.89,9,churned,2025-12-01,not_using,none,0.754,8,6-12m,2025-09-22,70,false
SKY-00062,Sky Cinema,England,Retail,2024-09-10,in-contract,2025-09-05,single,19.37,9,active,,,none,0.019,19,1-2yr,2025-10-23,,false
SKY-00063,NOW TV,England,Telesales,2024-12-18,rolling-monthly,,double,14.79,7,churned,2025-01-13,price,none,0.787,1,0-6m,2024-12-13,31,false
SKY-00064,Sky Protect,England,Retail,2024-05-27,rolling-monthly,,triple,22.83,10,active,,,none,0.131,23,1-2yr,2025-12-28,,false
SKY-00065,Sky Mobile,England,Telesales,2024-08-14,OOC,2025-11-02,double,44.0,9,churned,2026-03-17,found_better_deal,upgrade,0.577,19,1-2yr,2025-12-25,82,false
SKY-00066,NOW TV,Wales,Retail,2025-11-06,rolling-monthly,,single,10.52,0,churned,2025-12-10,price,none,0.908,1,0-6m,2025-09-14,87,false
SKY-00067,Sky Cinema,England,Retail,2024-04-19,rolling-monthly,,single,12.41,9,churned,2025-02-13,found_better_deal,none,0.793,10,6-12m,2025-02-05,8,false
SKY-00068,NOW TV,England,Online,2025-05-26,rolling-monthly,,double,9.56,10,active,,,none,0.022,11,6-12m,2025-12-21,,false
SKY-00069,Sky Glass/Sky Q,England,Telesales,2025-08-03,rolling-monthly,,single,70.86,7,active,,,none,0.174,8,6-12m,2025-11-27,,false
SKY-00070,Sky Broadband,England,Retail,2025-03-18,in-contract,2027-03-08,double,31.71,9,churned,2025-11-10,found_better_deal,none,0.885,8,6-12m,2025-10-27,14,false
SKY-00071,Sky Broadband,England,Telesales,2025-07-24,OOC,2026-01-31,single,35.62,3,active,,,none,0.186,9,6-12m,2026-03-16,,false
SKY-00072,Sky Broadband,England,Telesales,2025-05-10,OOC,2025-11-02,triple,60.62,8,churned,2025-08-13,price,none,0.823,3,0-6m,2025-07-01,43,false
SKY-00073,Sky Cinema,England,Retail,2025-10-28,rolling-monthly,,single,13.21,10,active,,,none,0.256,6,6-12m,2025-12-22,,false
SKY-00074,Sky Mobile,England,Telesales,2025-08-29,rolling-monthly,,single,38.03,0,active,,,none,0.087,8,6-12m,2025-12-14,,false
SKY-00075,Sky Protect,England,Telesales,2025-09-04,in-contract,2027-02-26,single,23.7,10,active,,,none,0.044,7,6-12m,2025-10-27,,false
SKY-00076,Sky Glass/Sky Q,England,Direct,2025-10-24,in-contract,2027-04-17,triple,67.89,0,active,,,none,0.141,6,6-12m,2026-01-03,,false
SKY-00077,Sky Glass/Sky Q,England,Online,2024-03-28,in-contract,2026-03-18,single,47.48,8,active,,,none,0.229,25,2-5yr,2025-12-05,,false
SKY-00078,Sky Sports,England,Direct,2024-10-31,rolling-monthly,,double,29.98,7,active,,,none,0.051,18,1-2yr,2026-03-24,,false
SKY-00079,Sky Mobile,England,Online,2025-04-13,OOC,2025-07-05,single,32.18,6,active,,,none,0.082,12,1-2yr,2025-10-07,,false
SKY-00080,Sky Mobile,Scotland,Direct,2025-03-14,in-contract,2026-03-09,double,45.32,10,active,,,none,0.091,13,1-2yr,2025-12-22,,false
SKY-00081,Sky Cinema,England,Direct,2025-10-04,in-contract,2027-03-28,single,17.95,10,active,,,none,0.197,6,6-12m,2025-11-16,,false
SKY-00082,Sky Cinema,England,Telesales,2024-08-04,in-contract,2026-01-26,double,15.39,9,churned,2025-05-14,price,none,0.853,9,6-12m,2025-04-27,17,false
SKY-00083,NOW TV,England,Retail,2024-10-07,OOC,2025-11-02,single,11.65,9,churned,2024-10-27,found_better_deal,none,0.858,0,0-6m,2024-09-27,30,false
SKY-00084,Sky Cinema,England,Direct,2024-01-02,in-contract,2024-12-27,single,12.26,9,churned,2024-01-24,found_better_deal,none,0.603,0,0-6m,2023-11-30,55,false
SKY-00085,NOW TV,England,Online,2025-01-27,OOC,2026-01-31,single,13.81,4,churned,2025-03-22,price,none,0.783,2,0-6m,2025-03-20,2,false
SKY-00086,Sky Sports,England,Telesales,2024-08-06,OOC,2025-09-03,double,25.12,6,active,,,downgrade,0.106,20,1-2yr,2026-03-14,,false
SKY-00087,Sky Glass/Sky Q,England,Online,2024-08-08,in-contract,2025-08-03,triple,66.2,7,active,,,none,0.091,20,1-2yr,2025-12-27,,false
SKY-00088,Sky Broadband,England,Retail,2024-04-30,OOC,2025-10-03,double,38.13,2,active,,,none,0.306,24,2-5yr,2026-01-14,,false
SKY-00089,NOW TV,England,Telesales,2025-08-28,rolling-monthly,,triple,12.45,10,active,,,downgrade,0.228,8,6-12m,2025-11-17,,false
SKY-00090,Sky Broadband,England,Partner,2024-05-25,OOC,2026-03-02,triple,67.5,8,active,,,none,0.174,23,1-2yr,2025-11-21,,false
SKY-00091,Sky Glass/Sky Q,England,Online,2024-06-27,in-contract,2025-12-19,triple,74.41,9,active,,,none,0.26,22,1-2yr,2025-11-30,,false
SKY-00092,Sky Glass/Sky Q,England,Telesales,2025-03-05,in-contract,2027-02-23,single,74.76,9,active,,,none,0.098,13,1-2yr,2026-03-18,,false
SKY-00093,Sky Protect,NI,Online,2025-02-01,in-contract,2026-01-27,single,18.07,10,churned,2026-02-20,price,none,0.607,12,1-2yr,2026-01-28,23,false
SKY-00094,Sky Protect,Scotland,Online,2024-01-23,in-contract,2026-01-12,triple,27.51,10,active,,,none,0.23,27,2-5yr,2026-01-26,,false
SKY-00095,Sky Protect,England,Online,2025-01-30,in-contract,2026-07-24,triple,29.95,8,active,,,none,0.035,15,1-2yr,2026-02-20,,false
SKY-00096,Sky Glass/Sky Q,England,Online,2024-07-13,in-contract,2026-07-03,double,73.83,6,active,,,none,0.129,21,1-2yr,2025-11-19,,false
SKY-00097,Sky Cinema,Wales,Direct,2025-05-01,OOC,2025-08-04,single,13.95,10,churned,2025-05-19,not_using,none,0.902,0,0-6m,2025-02-21,87,false
SKY-00098,Sky Sports,England,Retail,2025-04-04,in-contract,2026-03-30,triple,36.01,4,active,,,none,0.282,12,1-2yr,2026-02-23,,false
SKY-00099,Sky Sports,England,Direct,2024-04-12,rolling-monthly,,double,22.09,7,churned,2024-10-09,found_better_deal,none,0.822,6,6-12m,2024-07-13,88,false
SKY-00100,NOW TV,England,Telesales,2024-12-05,rolling-monthly,,single,9.75,6,churned,2025-11-15,price,none,0.913,11,6-12m,2025-09-13,63,false
SKY-00101,Sky Protect,England,Telesales,2024-02-27,in-contract,2025-02-21,single,20.06,8,active,,,none,0.206,26,2-5yr,2026-01-21,,false
SKY-00102,Sky Cinema,Scotland,Retail,2025-04-15,in-contract,2026-10-07,single,15.21,9,churned,2025-05-22,not_using,none,0.919,1,0-6m,2025-03-11,72,false
SKY-00103,NOW TV,England,Online,2025-12-01,OOC,2025-10-03,triple,14.83,10,active,,,none,0.036,4,0-6m,2025-10-30,,false
SKY-00104,Sky Cinema,England,Direct,2024-01-27,OOC,2025-11-02,triple,18.27,10,active,,,none,0.658,27,2-5yr,2026-02-14,,false
SKY-00105,Sky Protect,England,Online,2024-06-30,in-contract,2025-06-25,single,12.65,10,active,,,none,0.114,22,1-2yr,2026-02-27,,false
SKY-00106,Sky Broadband,England,Telesales,2024-06-22,in-contract,2026-06-12,double,30.04,10,active,,,none,0.002,22,1-2yr,2025-10-12,,false
SKY-00107,Sky Cinema,England,Online,2025-06-07,in-contract,2027-05-28,single,12.56,6,active,,,none,0.081,10,6-12m,2026-03-09,,false
SKY-00108,Sky Mobile,England,Online,2025-02-14,in-contract,2026-08-08,single,26.57,10,active,,,none,0.127,14,1-2yr,2026-01-11,,false
SKY-00109,Sky Glass/Sky Q,England,Direct,2025-08-13,OOC,2025-05-06,triple,72.49,9,active,,,none,0.272,8,6-12m,2026-01-09,,false
SKY-00110,Sky Broadband,England,Online,2025-06-03,in-contract,2027-05-24,single,49.51,3,churned,2026-01-13,found_better_deal,none,0.795,7,6-12m,2026-01-12,1,false
SKY-00111,Sky Protect,England,Direct,2025-09-25,OOC,2025-05-06,double,27.78,7,active,,,none,0.133,7,6-12m,2026-03-21,,false
SKY-00112,Sky Broadband,England,Retail,2025-02-23,in-contract,2027-02-13,single,32.43,10,active,,,upgrade,0.325,14,1-2yr,2026-02-28,,false
SKY-00113,Sky Glass/Sky Q,England,Direct,2024-11-25,in-contract,2026-05-19,single,59.36,9,active,,,none,0.193,17,1-2yr,2025-11-16,,false
SKY-00114,Sky Mobile,Scotland,Telesales,2024-01-14,in-contract,2025-01-08,single,16.59,2,active,,,none,0.174,27,2-5yr,2026-03-31,,false
SKY-00115,Sky Mobile,England,Retail,2024-02-10,in-contract,2025-08-03,double,43.94,9,active,,,none,0.224,26,2-5yr,2025-11-15,,false
SKY-00116,Sky Sports,England,Online,2025-11-17,OOC,2025-05-06,single,19.25,9,active,,,none,0.129,5,0-6m,2025-11-05,,false
SKY-00117,Sky Protect,England,Online,2025-02-01,in-contract,2026-07-26,single,8.29,9,active,,,none,0.328,14,1-2yr,2025-10-18,,false
SKY-00118,Sky Mobile,Wales,Online,2025-07-22,in-contract,2026-07-17,single,32.9,9,active,,,none,0.057,9,6-12m,2025-11-12,,false
SKY-00119,Sky Cinema,England,Online,2025-11-18,in-contract,2026-11-13,single,15.81,10,active,,,none,0.102,5,0-6m,2025-10-06,,false
SKY-00120,Sky Sports,England,Telesales,2024-11-19,rolling-monthly,,single,21.76,10,active,,,none,0.013,17,1-2yr,2025-10-16,,false
SKY-00121,Sky Protect,England,Telesales,2025-08-26,OOC,2026-01-01,single,16.68,8,active,,,none,0.259,8,6-12m,2026-03-16,,false
SKY-00122,Sky Mobile,England,Online,2024-07-30,in-contract,2026-01-21,single,47.47,10,active,,,upgrade,0.444,21,1-2yr,2026-03-03,,false
SKY-00123,Sky Cinema,England,Telesales,2025-08-27,in-contract,2027-02-18,single,10.43,9,active,,,none,0.184,8,6-12m,2026-01-19,,false
SKY-00124,Sky Glass/Sky Q,England,Direct,2025-04-27,rolling-monthly,,single,68.21,9,active,,,none,0.043,12,1-2yr,2025-11-16,,false
